id,skill_type,name,note,ct,toughness,burst_add,burst_gain,extra_turn,trigger_type,trigger_ct_mode,self_gauge_gain,burst_gauge_gain_add,requires_evade,targets_ally,gauge_to_target,atk_pct,extra_effects_json
emily,passive,,準備万端なメイド：エミリーの最大HPが上がる(3凸で15%)。戦闘開始時、自身に1ターンバリア(HP18%)を発生(実装済み)。攻撃を受けた後、究極スキル「ターンダウンサービス」のCTが1ターン短縮。全体攻撃を受けた後はさらに追加で1ターン短縮(単体-1／全体-2、実装済み)。自身に一定確率で冷却スタックを1つ付与(3凸で100%、実装済み・確率は常時発生として扱う)。究極は自身に「目覚める記憶（解除不可）」を1回発生させダメージ+50%ずつ(最大3、本ツール未対応)。また冷却が最大スタックの場合のみCTがさらに2ターン短縮される効果は本ツール未実装,,,,,,,,,,,,,,"{""ultimateCtReduceOnHit"": true, ""gainStackOnHit"": true, ""battleStartSelfBarrier"": {""turns"": 1, ""hpPct"": 18}}"
emily,basic,戦闘掃除開始,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""selfBuff"": {""name"": ""バリア（バースト時のみ）"", ""turns"": 1}, ""burstOnlySelfBuff"": true}"
emily,special,クリーニングサービス,,4,0,0,1,TRUE,none,hasCT,0,0,FALSE,TRUE,FALSE,,"{""targetEffect"": [{""name"": ""攻撃力アップ（+30%）"", ""turns"": 3, ""atkModPct"": 30}, {""name"": ""バリア（HP40%）"", ""turns"": 3}], ""selfStackGain"": 3}"
emily,ultimate,ターンダウンサービス,,7,1,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""consumeStackOnlyIfMax"": true, ""target"": ""all"", ""teamBuff"": {""name"": ""防御力アップ（+30%）"", ""turns"": 2}}"
kanelia,passive,,"回し車の輻：攻撃力+15%。戦闘開始時、自身に1ターン「漆黒の残響（解除不可）」を発生(実装済み：battleStartSelfBuffs)。攻撃時、激動スタック数に比例して攻撃力+6%(最大5、本ツール未実装)。戦闘不能に瀕すると1回だけ不死身発動(HP1%回復・全CTリセット、本ツール未実装)。特殊「導きの暁闇」使用後、自身が漆黒の残響状態であればランダムな敵にもう一度発動(基本・究極使用後は対象外、自身のターンに1回のみ、実装済み：afterOwnトリガー＋triggerRequiresSelfBuffName＋firesOnlyAfterKey:""special"")。究極は自身が漆黒の残響状態ならダメージ+50%(本ツール未実装、ダメージ計算非対応方針)",,,,,,,,,,,,,,"{""battleStartSelfBuffs"": [{""name"": ""漆黒の残響（解除不可・攻撃力/効果耐性+20%）"", ""turns"": 1, ""decrementAtOwnTurnEnd"": true}]}"
kanelia,basic,暁の誘い,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
kanelia,special,導きの暁闇,,3,1,1,1,FALSE,afterOwn,oncePerTurn,0,0,FALSE,FALSE,FALSE,,"{""targetEffect"": {""name"": ""強化不可"", ""turns"": 2}, ""selfStackGain"": 1, ""triggerRequiresSelfBuffName"": ""漆黒の残響"", ""enemyGaugeReductionPct"": 25, ""firesOnlyAfterKey"": ""special""}"
kanelia,ultimate,乖離解放,,4,1,1,1,FALSE,none,hasCT,30,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""target"": ""all""}"
clarissa,passive,,"絡みつく風道：会心率+15%(3凸)。ターン開始時、100%で跳躍スタック+1(基本スキルとは別に自動加算)。攻撃を受けた後、自身の跳躍スタックをすべて消去(本ツール未実装)。跳躍スタック段階効果：2で与ダメ+15%,3で命中+50%,4で自ゲージ+15%,5で敵ゲージ-15%(ダメージ・命中面は本ツールでは未計算。ゲージ効果は実装済み：攻撃後の自身の跳躍スタックが4以上で自ゲージ+15%、5以上で敵ゲージ-15%。攻撃を伴わないスキルでは発生しない)。特殊・究極は対象が月属性ならダメ+20%(本ツール未実装)。本ツールは会心発生前提のため、会心時効果(特殊の自ゲージ+15%・究極の敵ゲージ-20%)は常時適用として実装",,,,,,,,,,,,,,"{""turnStartStackGain"": true, ""passiveStackGaugeEffects"": {""selfGaugeThreshold"": 4, ""selfGaugePct"": 15, ""enemyGaugeThreshold"": 5, ""enemyGaugePct"": 15}}"
clarissa,basic,少し離れて,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,65,"{""selfStackGain"": 1}"
clarissa,special,感じるままに射撃,,3,1,1,1,FALSE,none,hasCT,40,0,FALSE,FALSE,FALSE,90,"{""targetEffect"": {""name"": ""速度ダウン（-20%）"", ""turns"": 1, ""speedModPct"": -20}, ""burstEnemyGaugeReductionAdd"": 15}"
clarissa,ultimate,銃はこうやって撃つんだよ,,4,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,115,"{""selfBuff"": {""name"": ""速度アップ（+20%）"", ""turns"": 2, ""speedModPct"": 20}, ""selfStackGain"": 2, ""enemyGaugeReductionPct"": 20}"
swimsuit_smile,passive,,スマイルの水中実験：スマイルの攻撃力が15%上がる(3凸)。戦闘開始時、速度が最も高い敵に100%の確率で水爆弾を3ターン付与(効果耐性・免疫・命中を無視して貫通、実装済み)。基本(水分補充)または究極(夏夜と花火)使用後、敵に100%の確率で水爆弾を3ターン付与(新しい水爆弾は既存のものを解除＝敵1体のみ有効)。攻撃時、対象が水爆弾状態なら自身の会心ダメージ+20%(3凸、本ツール未実装)。専用アルカナ「バカンスの準備はお買い物から！」を標準装備(ターン開始時跳躍+1／特殊使用時ダメ+20%は本ツール未反映)。特殊(クーリングシステム)は「自分以外の味方が水爆弾状態の敵を攻撃した後、跳躍2以上で自動発動」というトリガースキルで、実装済み(跳躍2消費・線香花火1付与・自ゲージ+15%)。究極発動時のクーリングシステム追加分はダメージのみで効果は乗らない(実装済み),,,,,,,,,,,,,,"{""relics"": {""SMILE_ARCANA"": true}, ""hasWaterBombReactAttack"": true, ""waterBombReactStackReq"": 2, ""waterBombReactDebuffName"": ""水爆弾""}"
swimsuit_smile,basic,水分補充,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,50,"{""selfStackGain"": 1, ""targetEffect"": {""name"": ""水爆弾"", ""turns"": 3}, ""battleStartDebuffFastestEnemy"": {""name"": ""水爆弾"", ""turns"": 3, ""ignoresImmune"": true}}"
swimsuit_smile,special,クーリングシステム,,0,1,1,0,FALSE,none,hasCT,15,0,FALSE,FALSE,FALSE,70,"{""selfSenkohanabiGain"": 1}"
swimsuit_smile,ultimate,夏夜と花火,,4,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,115,"{""selfStackGain"": 3, ""targetEffect"": {""name"": ""水爆弾"", ""turns"": 3}, ""consumeSenkohanabiForExtraHits"": true}"
smile,passive,,基本スキル(射撃座標確認)使用後、自身の行動ゲージ+15%(条件なし・確定、実装済み：basicのself_gauge_gain)。また、基本スキル使用後、①自身の跳躍スタックが最大(5)、②敵HPが50%以下、のいずれかで特殊(猫のタップダンス)が自動トリガー候補として提示される(特殊使用後は対象外)。候補ボタンは常に1つで、跳躍スタックが最大ならその理由を、そうでなければ敵HP条件（要確認）をボタンに表示する（実装済み：triggerRequiresSelfStackMaxAfterAction＋triggerManualConditionNote）。基本スキルを複数回使う機会（追加ターン等）があれば、その都度この判定が発生するため、1ターンに最大2回発動することもありうる。敵HP条件は本ツールがダメージ・HPを計算しない方針のため自動判定できず、プレイヤーが実際のHPを見て発動を判断する。究極スキル使用後も、跳躍スタックが最大(5)なら同様に特殊が自動トリガー候補として提示される(こちらは敵HP条件なし・スタックMAX時のみ、実装済み：firesAfterAnyOwnAttack)。発動時、スタックが最大ならスタックを全消費する（実装済み：consumeStackOnlyIfMax。敵HP条件のみで発動した場合はスタックは消費されない）。CT状態に関係なく発動できる（実装済み：triggerIgnoresOwnCt）。専用アルカナ「バカンスの準備はお買い物から！」を標準装備(ターン開始時跳躍+1／特殊スキル使用時、与ダメージ+20%は本ツール未反映),,,,,,,,,,,,,,"{""relics"": {""SMILE_ARCANA"": true}}"
smile,basic,射撃座標確認,,0,0,1,0,FALSE,none,hasCT,15,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
smile,special,猫のタップダンス,,1,0,1,1,FALSE,afterOwn,hasCT,0,0,FALSE,FALSE,FALSE,,"{""targetEffect"": {""name"": ""燃焼"", ""turns"": 1, ""dot"": true}, ""target"": ""all"", ""triggerRequiresSelfStackMaxAfterAction"": true, ""consumeStackOnlyIfMax"": true, ""triggerManualConditionNote"": ""敵HP50%以下"", ""firesAfterAnyOwnAttack"": true, ""triggerIgnoresOwnCt"": true}"
smile,ultimate,全隊員、一斉射撃！,,4,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""targetEffect"": {""name"": ""防御力ダウン"", ""turns"": 2}, ""selfStackGain"": 3}"
seira,passive,,攻撃力+15%(3凸)。攻撃時、敵HP75%以上でダメ+15%(3凸)。究極は自身の洞察が最大スタックならダメ+20%(本ツール未対応、ダメージ計算非対応方針),,,,,,,,,,,,,,
seira,basic,はかない夢,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
seira,special,星蝶の群れ,,4,0,0,1,TRUE,none,hasCT,25,25,FALSE,TRUE,TRUE,,"{""selfStackGain"": 3, ""targetEffect"": {""name"": ""上級攻撃力アップ（+50%）"", ""turns"": 2, ""atkModPct"": 50}}"
seira,ultimate,幻夢への招待,,5,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""霊夢の光（ATK+15%/速度+15%）"", ""turns"": 2, ""speedModPct"": 15}, ""targetEffect"": {""name"": ""速度ダウン（-20%）"", ""turns"": 2, ""speedModPct"": -20}, ""selfStackConsumeAll"": true}"
ceres,passive,,攻撃力+15%(3凸)。戦闘開始時、自身に冷却スタックを2個付与(本ツール未実装)。特殊使用後、命中数に応じ自ゲージ+35%ずつ(最大175%、実装済み：selfGaugeGainPerHitPct/selfGaugeGainPerHitMaxPct)。敵が凍結状態でダメ+30%(本ツールはダメージ計算非対応のため未実装)。特殊は100%で敵全体の強化効果を1個解除(本ツール未実装),,,,,,,,,,,,,,
ceres,basic,第1型三日月,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""burstEnemyGaugeReductionAdd"": 15}"
ceres,special,第7型大地震,,4,0,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""targetEffect"": [{""name"": ""凍結"", ""turns"": 2, ""dot"": true}, {""name"": ""孤立"", ""turns"": 2}], ""target"": ""all"", ""selfGaugeGainPerHitPct"": 35, ""selfGaugeGainPerHitMaxPct"": 175}"
ceres,ultimate,第21型刀風,,4,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""西部の風（速度+25%）"", ""turns"": 3, ""speedModPct"": 25}, ""targetEffect"": {""name"": ""気絶"", ""turns"": 1}, ""selfStackConsumeAll"": true, ""enemyGaugeReductionPct"": 20, ""enemyGaugeReductionPerStack"": 10}"
tyria,passive,,攻撃力+15%(3凸)。基本スキル後100%で敵に惨劇の棘を1スタック付与（本ツールでは敵デバフとして蓄積・表示）。惨劇の棘は最大3スタック。敵の棘が3スタック(最大)の状態で基本スキルを使用すると特殊(惨劇のレクイエム)が自動トリガー候補として提示される（基本スキル使用後のみ判定。特殊・究極使用後は対象外）。トリガー発動時は速度アップが付かず、CTにも入らない(通常発動時のみ速度+20%・CT4)。究極はボスに惨劇の棘3スタック・それ以外の敵には1スタック付与（本ツールは全体に1スタックのみ実装。ボスへの追加2スタックは手動で棘デバフを追加適用してください）,,,,,,,,,,,,,,
tyria,basic,終焉のプレリュード,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""targetEffect"": {""name"": ""惨劇の棘"", ""turns"": 99, ""dot"": true, ""ignoresImmune"": true, ""undispellable"": true}}"
tyria,special,惨劇のレクイエム,,4,0,1,1,FALSE,afterOwn,oncePerTurn,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""速度アップ（+20%）"", ""turns"": 3, ""speedModPct"": 20}, ""selfBuffManualOnly"": true, ""selfStackConsumeAll"": true, ""triggerRequiresEnemyStackName"": ""惨劇の棘"", ""triggerRequiresEnemyStackCount"": 3, ""consumeAllTargetDebuffName"": ""惨劇の棘""}"
tyria,ultimate,悲嘆のクレッシェンド,,5,0,1,1,TRUE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""破砕（ATK+10%）"", ""turns"": 2}, ""selfStackGain"": 2, ""target"": ""all"", ""extraTurnBurstOnly"": true, ""targetEffect"": {""name"": ""惨劇の棘"", ""turns"": 99, ""dot"": true, ""ignoresImmune"": true, ""undispellable"": true}}"
bunny_clare,passive,,ターン開始時、会心率+10%スタック(最大3)。基本スキル使用後、自身の冷却スタックが最大(5)の場合、特殊(どこを見ているのですか？)が自動トリガー候補として提示される(特殊・究極使用後は対象外)。この判定は基本スキル自体によるスタック増加分も含めた『行動後』の値で行う（実装済み：triggerRequiresSelfStackMaxAfterAction）。発動時はスタックを全消費する（実装済み：consumeStackOnlyIfMax）。このトリガーは特殊自身のCT状態に関係なく発動でき、発動してもCTには入らない（実装済み：triggerIgnoresOwnCt）。究極(バニージャックポット)はバースト強化時、自身の行動ゲージ+20%(実装済み：ultimateのburst_gauge_gain_add),,,,,,,,,,,,,,
bunny_clare,basic,目にも止まらぬ動き,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
bunny_clare,special,どこを見ているのですか？,,3,1,1,0,FALSE,afterOwn,hasCT,30,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""攻撃力アップ（+30%）"", ""turns"": 2}, ""selfStackGain"": 3, ""triggerRequiresSelfStackMaxAfterAction"": true, ""consumeStackOnlyIfMax"": true, ""triggerIgnoresOwnCt"": true}"
bunny_clare,ultimate,バニージャックポット,,4,2,1,1,FALSE,none,hasCT,0,20,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""ジャックポット・ブルーム（会心率/会心ダメ+20%）"", ""turns"": 3}}"
bunny_charle,passive,,攻撃力+15%(3凸)。他の太陽味方のターン開始時、自身に点火+1。特殊(祝杯の歌)のラッキートークンが自身にある間のみ、通常攻撃(バニーステップ)使用後にもう一度通常攻撃が自動トリガー候補として提示される(1ターン1回。特殊・究極使用後は対象外)。基本スキル(バニーステップ)使用後、自身の行動ゲージ+10%(2回使用で+20%)。究極は点火スタックが最大(5)の時、全消費してCTに入らない(実装済み：skipCtIfStackMaxConsumeAll)。究極はバースト時、ダメージの30%分のHPを回復(本ツール未対応),,,,,,,,,,,,,,
bunny_charle,basic,バニーステップ,,0,0,1,0,FALSE,afterOwn,oncePerTurn,10,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""triggerRequiresSelfBuffName"": ""ラッキートークン""}"
bunny_charle,special,祝杯の歌,,4,0,0,1,TRUE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""target"": ""all"", ""selfBuff"": {""name"": ""ラッキートークン（解除不可＝防御力20%貫通）"", ""turns"": 3}, ""selfStackGain"": 3, ""teamBuff"": {""name"": ""攻撃力アップ（+30%）"", ""turns"": 2}}"
bunny_charle,ultimate,窮地に追い込まれたウサギ,,5,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackConsumeAll"": true, ""skipCtIfStackMaxConsumeAll"": true}"
luna,passive,,究極使用時、自身が強化状態なら会心ダメ+20%。全スキルが全体攻撃,,,,,,,,,,,,,,
luna,basic,護身用魔力弾,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""target"": ""all""}"
luna,special,ヘカテの火種,,3,0,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""会心率アップ（+30%）"", ""turns"": 2}, ""target"": ""all""}"
luna,ultimate,アタシの目に映った世界,,4,0,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""targetEffect"": {""name"": ""束縛"", ""turns"": 2}, ""target"": ""all""}"
bride_epindel,passive,,味方の会心ヒットで点火+1。太陽味方のターン開始時、点火+2(3凸),,,,,,,,,,,,,,
bride_epindel,basic,鷹の強襲,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
bride_epindel,special,ブーケトス,,3,0,1,1,TRUE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""攻撃力アップ（+30%）"", ""turns"": 2}, ""selfStackConsumeAll"": true, ""enemyGaugeReductionPct"": 20}"
bride_epindel,ultimate,花嫁、入場,,4,0,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""速度アップ"", ""turns"": 2}, ""target"": ""all""}"
bride_carmen,passive,,盟約：最大HPが15%上がる(未対応)。戦闘開始時、自身を除く攻撃力最高の味方に「愛の誓約（解除不可）」を付与(実装済み：上の対象選択欄で戦闘開始前に指定。permanent:trueの永続バフとして付与され、自動ターン減少・解除の対象外。効果耐性+20%の数値効果自体は本ツール非対応のため注記のみ)。対象が単体攻撃を受けた時、被ダメの40%をカルメンが代わりに受け自身ゲージ+30%(本ツールはダメージ計算非対応のため被ダメ肩代わり自体は手動判断)。特殊「守護の騎士」は対象指定型トリガー（実装済み：愛の誓約の対象が単体攻撃を受けた時に自動発動候補として提示、選択すると対象選択フォームなしで即時発動）。基本使用後、味方全体HP回復(本ツール未対応)。特殊・究極のノヴァフォース獲得量は1（実装済み）。専用潜在「愛の行進」：強靭度上限+1・特殊/究極使用後ノヴァフォース+2（実装済み：CARMEN_ARCANA、通常発動・トリガー発動どちらでも加算される）,,,,,,,,,,,,,,"{""requiresGuardTarget"": true}"
bride_carmen,basic,邪魔しないでください,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
bride_carmen,special,守護の騎士,,2,0,0,1,FALSE,guardedAlly,hasCT,30,0,FALSE,TRUE,FALSE,,"{""targetEffect"": {""name"": ""バリア"", ""turns"": 2}, ""selfStackGain"": 2, ""alsoGaugeToTarget"": 30}"
bride_carmen,ultimate,ウェディング・マーチ,,4,0,0,1,FALSE,none,hasCT,0,0,FALSE,TRUE,FALSE,,"{""selfStackGain"": 3, ""targetClearAllDebuffs"": true, ""targetStackGainIfSameAttributeAsSelf"": 3}"
bunny_scarlet,passive,,ハイスコア！：会心率+15%(3凸)。攻撃時、点火スタックに比例してダメージ+7%ずつ(最大5スタック)。ターン開始時、自身にピンボールタイム！を3回発生させ(ノーマルボール/セブンボールを各1/2でランダム抽選、攻撃後に全解除)、セブンボール(解除不可)の数に応じて速度+1ずつ(最大10スタック、実装済み：セブンボール数欄に応じて自ターン開始時に自動加算)。ノーマルボール：ダメ+1%、セブンボール：ダメ+7%（本ツール未実装、ダメージ計算対象外のため）。セブンボールの数はランダム要素のため、実際のゲーム画面を見ながら下の「セブンボール数」欄を手動で0〜3にセットしてください（速度スタック増加・究極スキルのCT短縮の両方に使用）,,,,,,,,,,,,,,"{""usesSevenBallMechanic"": true}"
bunny_scarlet,basic,一気に行くのだ！,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,65,"{""selfStackGain"": 1}"
bunny_scarlet,special,これは無効なのだ！,,4,0,1,1,TRUE,none,hasCT,0,0,FALSE,FALSE,FALSE,70,"{""targetEffect"": {""name"": ""回復量ダウン（-50%）"", ""turns"": 2}, ""selfStackGain"": 1}"
bunny_scarlet,ultimate,とりあえず勝ったのだ！,,5,0,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,40,"{""target"": ""all"", ""targetEffect"": [{""name"": ""速度ダウン（-20%）"", ""turns"": 1, ""speedModPct"": -20}, {""name"": ""回復量ダウン（-50%）"", ""turns"": 2}], ""selfStackGain"": 1, ""ctReduceBySevenBall"": true}"
scarlet,passive,,わがはいが相手してやるのだ！：最大HPが15%上がる(3凸)。基本(裁断してやるのだ！)使用後、敵に100%で2ターン燃焼を発生(実装済み)。攻撃時、自身の点火が最大スタックであれば、スタックを全消去した後、特殊(思い切って行くのだ！)を発動(自身のターンに1回のみ、実装済み：afterOwnトリガーとして候補提示)。特殊の「敵の燃焼スタックに応じてダメ+15%ずつ(最大3)」・究極バーストの「燃焼追加発生」はダメージ計算対象外のため注記のみ,,,,,,,,,,,,,,
scarlet,basic,裁断してやるのだ！,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,65,"{""selfStackGain"": 1, ""targetEffect"": {""name"": ""燃焼"", ""turns"": 2, ""dot"": true}}"
scarlet,special,思い切って行くのだ！,,3,1,1,1,FALSE,afterOwn,oncePerTurn,0,0,FALSE,FALSE,FALSE,90,"{""selfBuff"": {""name"": ""攻撃力アップ（+30%）"", ""turns"": 2}, ""triggerRequiresSelfStackMax"": true, ""consumeStackOnlyIfMax"": true, ""firesAfterAnyOwnAttack"": true}"
scarlet,ultimate,耐えられるかのう？,,5,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,115,"{""targetEffect"": [{""name"": ""燃焼"", ""turns"": 2, ""dot"": true}, {""name"": ""燃焼"", ""turns"": 2, ""dot"": true}], ""selfBuff"": {""name"": ""チョキチョキ！（攻撃力+効果命中+15%）"", ""turns"": 2}, ""selfStackGain"": 3}"
christel,passive,,攻撃力+15%。戦闘開始時、自身に点火+3(実装済み：battleStartElementStackGain)。自身を除く味方が特殊・究極で攻撃時、自身に点火+1。攻撃した味方が太陽属性ならさらに+1(実装済み：gainsStackOnAllySpecialOrUltimate、useAllySkill・fireTrigger両方の攻撃解決処理に実装)。悪夢の開放(究極)使用時、敵が弱体化状態なら100%で自身の攻撃力に比例した連鎖ダメージ・自身ゲージ+30%(連鎖ダメージはダメージ計算非対応のため注記のみ、ゲージ増加は実装済み),,,,,,,,,,,,,,"{""battleStartElementStackGain"": 3, ""gainsStackOnAllySpecialOrUltimate"": {""baseAmount"": 1, ""bonusIfAttackerAttribute"": ""太陽"", ""bonusAmount"": 1}}"
